time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
UPDATE_ITEM_PRICE: ABORTED
5,552,9.061594,5.0,106.0,6.0,8.0,10.0
10,696,7.1939654,5.0,16.0,6.0,7.0,8.0
15,761,6.5742445,5.0,19.0,5.0,7.0,7.0
20,724,6.910221,4.0,15.0,6.0,7.0,8.0
25,699,7.1616597,5.0,49.0,6.0,7.0,8.0
30,761,6.5755587,5.0,15.0,5.0,6.0,7.0
35,767,6.5267277,4.0,17.0,5.0,6.0,7.0
40,770,6.498701,5.0,15.0,5.0,6.0,7.0
45,744,6.725806,5.0,48.0,5.0,6.0,7.0
50,688,7.270349,5.0,18.0,6.0,7.0,8.0
55,676,7.4008875,5.0,49.0,6.0,7.0,8.0
60,569,8.796134,5.0,141.0,6.0,7.0,9.0
65,584,8.568493,5.0,31.0,6.0,8.0,10.0
70,563,8.889875,5.0,49.0,7.0,8.0,10.0
75,614,8.154723,5.0,19.0,7.0,8.0,9.0
80,541,9.255083,5.0,22.0,7.0,9.0,11.0
85,583,8.581475,5.0,25.0,7.0,8.0,9.0
90,632,7.914557,5.0,18.0,6.0,8.0,9.0
95,576,8.682292,5.0,57.0,7.0,8.0,9.0
100,645,7.7550387,5.0,20.0,6.0,8.0,9.0
105,685,7.3007298,5.0,18.0,6.0,7.0,8.0
110,684,7.3114033,5.0,18.0,6.0,7.0,8.0
115,314,7.697452,5.0,19.0,6.0,7.0,9.0
