time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 6366, 1.978794, 0, 12, 1, 2, 3
1, 6370, 1.986970, 0, 12, 1, 2, 3
2, 6416, 1.968984, 0, 11, 1, 2, 3
3, 6550, 1.913588, 0, 11, 1, 2, 3
4, 6121, 2.082176, 0, 10, 1, 2, 3
5, 5786, 2.236087, 0, 22, 1, 2, 3
6, 5824, 2.230769, 0, 11, 1, 2, 3
7, 6243, 2.036841, 0, 8, 1, 2, 3
8, 5996, 2.148432, 0, 12, 1, 2, 3
9, 6138, 2.084881, 0, 7, 1, 2, 3
10, 6347, 1.993225, 0, 13, 1, 2, 3
11, 6144, 2.078613, 0, 11, 1, 2, 3
12, 6320, 2.000791, 0, 11, 1, 2, 3
13, 6106, 2.100884, 0, 12, 1, 2, 3
14, 5631, 2.305452, 0, 11, 1, 2, 3
15, 5688, 2.281646, 0, 11, 1, 2, 3
16, 5648, 2.300814, 0, 10, 1, 2, 3
17, 5438, 2.412284, 0, 12, 1, 2, 3
18, 5638, 2.303122, 0, 10, 1, 2, 3
19, 5557, 2.355048, 0, 10, 1, 2, 3
20, 5510, 2.364791, 0, 13, 1, 2, 3
21, 5264, 2.512918, 0, 11, 1, 2, 3
22, 5002, 2.666533, 0, 9, 2, 2, 3
23, 4964, 2.697220, 0, 13, 2, 3, 3
24, 5185, 2.558727, 0, 10, 2, 2, 3
25, 5138, 2.570261, 0, 16, 1, 2, 3
26, 4810, 2.798129, 0, 14, 2, 3, 4
27, 5020, 2.657769, 0, 19, 1, 2, 3
28, 4874, 2.759951, 0, 15, 2, 3, 4
29, 5024, 2.656847, 0, 12, 2, 2, 3
30, 4940, 2.714777, 0, 16, 1, 2, 4
31, 4933, 2.707278, 0, 24, 1, 2, 4
32, 4842, 2.778604, 0, 10, 2, 3, 4
33, 4759, 2.836730, 0, 15, 2, 3, 4
34, 4584, 2.955497, 0, 13, 2, 3, 4
35, 4524, 3.005305, 0, 23, 2, 3, 4
36, 4686, 2.880708, 0, 24, 2, 2, 4
37, 4625, 2.931459, 0, 34, 2, 3, 4
38, 5070, 2.629586, 0, 12, 2, 2, 3
39, 4927, 2.720520, 0, 9, 2, 2, 4
40, 4993, 2.672942, 0, 18, 1, 2, 4
41, 5035, 2.645482, 0, 17, 1, 2, 4
42, 5044, 2.642347, 0, 11, 2, 2, 3
43, 4883, 2.748925, 0, 11, 2, 3, 4
44, 4825, 2.793782, 0, 10, 2, 3, 4
45, 4633, 2.925966, 0, 13, 2, 3, 4
46, 4336, 3.157518, 0, 54, 1, 2, 4
47, 3207, 4.377300, 0, 110, 1, 2, 4
48, 3958, 3.565184, 0, 66, 2, 3, 4
49, 4833, 2.775916, 0, 28, 2, 3, 4
50, 4653, 2.909951, 0, 43, 1, 2, 4
51, 4794, 2.799332, 0, 17, 1, 2, 4
52, 4679, 2.879461, 0, 21, 2, 3, 4
53, 3922, 3.554309, 0, 27, 2, 3, 4
54, 3996, 3.462713, 0, 126, 1, 3, 4
55, 4488, 3.044118, 0, 16, 2, 3, 4
56, 4587, 2.950730, 0, 17, 1, 3, 4
57, 4753, 2.835472, 0, 13, 2, 3, 4
58, 4847, 2.772230, 0, 20, 1, 2, 4
59, 4652, 2.906492, 0, 11, 2, 3, 4
60, 22, 3.454545, 1, 6, 2, 3, 5
