time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 223, 8.349776, 4, 63, 6, 7, 9
1, 259, 7.181467, 4, 43, 5, 6, 8
2, 265, 6.977358, 4, 72, 5, 6, 7
3, 226, 8.265487, 4, 84, 6, 7, 8
4, 245, 7.730612, 4, 154, 5, 6, 7
5, 245, 7.624490, 4, 73, 6, 7, 8
6, 273, 6.772894, 4, 55, 5, 6, 7
7, 274, 6.817518, 4, 63, 5, 6, 7
8, 265, 7.015094, 4, 54, 5, 6, 8
9, 253, 7.367589, 4, 47, 5, 6, 8
10, 231, 8.151515, 4, 69, 5, 7, 8
11, 286, 6.524476, 4, 57, 5, 6, 7
12, 271, 6.841328, 4, 75, 5, 6, 7
13, 255, 7.305882, 4, 66, 5, 7, 8
14, 247, 7.566802, 4, 68, 5, 7, 8
15, 258, 7.201550, 4, 45, 5, 6, 8
16, 261, 7.126437, 4, 52, 5, 6, 8
17, 263, 7.098859, 4, 46, 5, 6, 7
18, 257, 7.241245, 4, 68, 5, 6, 8
19, 265, 6.939623, 4, 65, 5, 6, 7
20, 226, 8.331858, 4, 67, 6, 7, 9
21, 252, 7.384921, 5, 68, 6, 7, 8
22, 163, 11.613497, 5, 74, 7, 8, 11
23, 245, 7.665306, 4, 72, 5, 6, 8
24, 173, 11.000000, 4, 119, 6, 8, 10
25, 284, 6.500000, 4, 16, 5, 6, 7
26, 261, 7.114943, 4, 67, 5, 6, 7
27, 205, 9.185366, 4, 72, 5, 7, 8
28, 274, 6.795620, 4, 38, 5, 6, 7
29, 225, 8.306667, 4, 101, 5, 7, 8
30, 279, 6.573477, 4, 49, 5, 6, 7
31, 300, 6.140000, 3, 42, 4, 5, 6
32, 282, 6.507092, 3, 63, 4, 6, 7
33, 281, 6.601423, 4, 73, 5, 6, 7
34, 265, 7.037736, 3, 95, 5, 6, 7
35, 213, 8.854460, 4, 78, 6, 7, 9
36, 262, 7.122137, 4, 15, 6, 7, 8
37, 164, 11.481707, 4, 90, 6, 8, 11
38, 104, 18.721154, 6, 83, 9, 12, 22
39, 206, 8.985437, 5, 42, 6, 8, 10
40, 91, 21.912088, 6, 130, 10, 13, 23
41, 246, 7.540650, 4, 30, 5, 6, 8
42, 191, 9.837696, 4, 89, 6, 8, 10
43, 149, 12.879195, 5, 97, 8, 10, 14
44, 120, 16.008333, 6, 59, 9, 13, 19
45, 88, 22.045455, 6, 245, 8, 11, 16
46, 193, 9.886010, 5, 30, 7, 9, 11
47, 172, 11.104651, 4, 110, 6, 7, 10
48, 225, 8.355556, 4, 84, 6, 7, 8
49, 220, 8.522727, 4, 44, 6, 8, 9
50, 219, 8.589041, 4, 80, 6, 7, 9
51, 265, 7.026415, 4, 32, 5, 6, 8
52, 241, 7.796680, 4, 88, 5, 7, 8
53, 155, 12.270968, 4, 114, 6, 9, 12
54, 146, 13.191781, 6, 132, 10, 11, 14
55, 164, 11.603659, 5, 72, 8, 10, 12
56, 99, 19.787879, 8, 151, 11, 14, 19
57, 134, 14.216418, 7, 41, 9, 13, 16
58, 124, 15.596774, 8, 131, 11, 13, 16
59, 153, 12.575163, 7, 36, 10, 11, 14
60, 1, 10.000000, 10, 10, 10, 10, 10
